row,col
58,553
79,553
417,553
420,553
447,553
13,554
38,554
122,554
151,554
182,554
371,554
383,554
463,554
475,554
515,554
543,554
41,555
49,555
229,555
265,555
342,555
502,555
16,556
118,556
121,556
174,556
188,556
224,556
233,556
294,556
310,556
331,556
363,556
367,556
393,556
400,556
401,556
509,556
542,556
1,557
291,557
432,557
204,558
302,558
364,558
374,558
532,558
46,559
70,559
132,559
186,559
300,559
322,559
439,559
12,560
66,560
237,560
319,560
357,560
368,560
416,560
438,560
127,561
10,562
24,562
153,562
158,562
183,562
119,563
198,563
467,563
485,563
490,563
520,563
522,563
527,563
46,564
70,564
132,564
186,564
300,564
322,564
439,564
559,564
10,565
24,565
153,565
158,565
183,565
562,565
115,566
449,566
28,567
167,567
5,568
39,568
64,568
333,568
334,568
336,568
445,568
523,568
534,568
211,569
236,569
348,569
435,569
42,570
68,570
71,570
87,570
88,570
101,570
124,570
137,570
154,570
164,570
169,570
192,570
213,570
330,570
399,570
530,570
65,572
67,572
76,572
181,572
279,572
281,572
286,572
491,572
104,573
275,573
339,573
524,573
394,574
271,575
366,575
473,575
496,575
202,576
315,576
359,576
369,576
406,576
437,576
550,576
204,577
302,577
364,577
374,577
532,577
558,577
396,578
464,578
548,578
11,579
33,579
98,579
100,579
128,579
146,579
239,579
254,579
295,579
316,579
343,579
404,579
405,579
494,579
519,579
549,579
430,580
51,581
208,581
126,582
176,582
301,582
505,582
42,583
68,583
71,583
87,583
88,583
101,583
124,583
137,583
154,583
164,583
169,583
192,583
213,583
330,583
399,583
530,583
570,583
16,584
118,584
121,584
174,584
188,584
224,584
233,584
294,584
310,584
331,584
363,584
367,584
393,584
400,584
401,584
509,584
542,584
556,584
126,585
176,585
301,585
505,585
582,585
1,586
291,586
432,586
557,586
109,587
157,587
194,587
222,587
370,587
480,587
528,587
531,587
552,587
92,589
96,589
190,589
350,589
588,590
73,591
196,591
305,591
423,591
92,592
96,592
190,592
350,592
589,592
14,593
69,593
125,593
231,593
525,593
46,594
70,594
132,594
186,594
300,594
322,594
439,594
559,594
564,594
141,595
3,596
225,596
324,596
163,597
246,597
487,597
12,598
66,598
237,598
319,598
357,598
368,598
416,598
438,598
560,598
21,599
165,599
179,599
434,599
436,599
458,599
204,600
302,600
364,600
374,600
532,600
558,600
577,600
11,601
33,601
98,601
100,601
128,601
146,601
239,601
254,601
295,601
316,601
343,601
404,601
405,601
494,601
519,601
549,601
579,601
120,602
178,602
373,602
427,602
61,603
85,603
94,603
102,603
108,603
197,603
228,603
241,603
332,603
379,603
384,603
388,603
413,603
428,603
459,603
535,603
93,604
312,604
28,605
167,605
567,605
10,606
24,606
153,606
158,606
183,606
562,606
565,606
148,607
351,607
389,607
202,608
315,608
359,608
369,608
406,608
437,608
550,608
576,608
27,610
317,611
138,612
199,612
212,612
360,612
460,612
75,613
441,613
163,614
246,614
487,614
597,614
240,615
375,615
541,615
105,616
187,616
278,616
376,616
465,616
50,617
329,617
345,617
529,617
93,618
312,618
604,618
45,619
59,619
130,619
156,619
285,619
390,619
455,619
486,619
513,619
547,619
93,621
312,621
604,621
618,621
90,622
292,622
448,622
456,622
545,622
16,623
118,623
121,623
174,623
188,623
224,623
233,623
294,623
310,623
331,623
363,623
367,623
393,623
400,623
401,623
509,623
542,623
556,623
584,623
408,624
380,625
444,625
538,625
12,626
66,626
237,626
319,626
357,626
368,626
416,626
438,626
560,626
598,626
394,627
574,627
50,628
329,628
345,628
529,628
617,628
306,629
58,630
79,630
417,630
420,630
447,630
553,630
44,631
341,631
429,631
92,632
96,632
190,632
350,632
589,632
592,632
11,633
33,633
98,633
100,633
128,633
146,633
239,633
254,633
295,633
316,633
343,633
404,633
405,633
494,633
519,633
549,633
579,633
601,633
7,634
107,634
116,634
263,634
387,634
424,634
508,635
204,636
302,636
364,636
374,636
532,636
558,636
577,636
600,636
44,637
341,637
429,637
631,637
104,639
275,639
339,639
524,639
573,639
73,640
196,640
305,640
423,640
591,640
18,641
469,641
36,642
207,642
274,642
314,642
365,642
478,642
293,643
352,643
482,643
58,644
79,644
417,644
420,644
447,644
553,644
630,644
306,645
629,645
134,646
147,646
210,646
289,646
381,646
433,646
471,646
218,647
298,647
126,648
176,648
301,648
505,648
582,648
585,648
91,649
4,650
47,650
166,650
184,650
220,650
346,650
355,650
397,650
446,650
4,651
47,651
166,651
184,651
220,651
346,651
355,651
397,651
446,651
650,651
109,652
157,652
194,652
222,652
370,652
480,652
528,652
531,652
552,652
587,652
135,653
234,653
450,653
204,655
302,655
364,655
374,655
532,655
558,655
577,655
600,655
636,655
92,656
96,656
190,656
350,656
589,656
592,656
632,656
271,657
366,657
473,657
496,657
575,657
21,659
165,659
179,659
434,659
436,659
458,659
599,659
180,660
65,661
67,661
76,661
181,661
279,661
281,661
286,661
491,661
572,661
11,662
33,662
98,662
100,662
128,662
146,662
239,662
254,662
295,662
316,662
343,662
404,662
405,662
494,662
519,662
549,662
579,662
601,662
633,662
92,663
96,663
190,663
350,663
589,663
592,663
632,663
656,663
42,664
68,664
71,664
87,664
88,664
101,664
124,664
137,664
154,664
164,664
169,664
192,664
213,664
330,664
399,664
530,664
570,664
583,664
19,665
37,665
83,665
112,665
162,665
201,665
205,665
219,665
338,665
361,665
421,665
4,666
47,666
166,666
184,666
220,666
346,666
355,666
397,666
446,666
650,666
651,666
105,667
187,667
278,667
376,667
465,667
616,667
0,669
42,670
68,670
71,670
87,670
88,670
101,670
124,670
137,670
154,670
164,670
169,670
192,670
213,670
330,670
399,670
530,670
570,670
583,670
664,670
73,671
196,671
305,671
423,671
591,671
640,671
5,672
